Start_Date	End_Date	Carrier	Volume
2021-12-20 00:00:00.000	2021-12-24 00:00:00.000	NJ Transit	1977
2021-12-20 00:00:00.000	2021-12-24 00:00:00.000	Peter Pan_Bonanza	25
2021-12-20 00:00:00.000	2021-12-24 00:00:00.000	Trailways	18
2021-12-20 00:00:00.000	2021-12-24 00:00:00.000	TransBridge	17
2021-12-27 00:00:00.000	2021-12-31 00:00:00.000	Academy	0
2021-12-27 00:00:00.000	2021-12-31 00:00:00.000	C & J Bus Lines	0
2021-12-27 00:00:00.000	2021-12-31 00:00:00.000	Coach USA	0
2021-12-27 00:00:00.000	2021-12-31 00:00:00.000	DeCamp	0
2021-12-27 00:00:00.000	2021-12-31 00:00:00.000	Greyhound	0
2021-12-27 00:00:00.000	2021-12-31 00:00:00.000	HCEE - Community	0
2021-12-27 00:00:00.000	2021-12-31 00:00:00.000	Lakeland	0
2021-12-27 00:00:00.000	2021-12-31 00:00:00.000	Martz	0
2021-12-27 00:00:00.000	2021-12-31 00:00:00.000	NJ Transit	0
2021-12-27 00:00:00.000	2021-12-31 00:00:00.000	Peter Pan_Bonanza	0
2021-12-27 00:00:00.000	2021-12-31 00:00:00.000	Trailways	0
2021-12-27 00:00:00.000	2021-12-31 00:00:00.000	TransBridge	0
2022-01-03 00:00:00.000	2022-01-07 00:00:00.000	Academy	36
2022-01-03 00:00:00.000	2022-01-07 00:00:00.000	C & J Bus Lines	0
2022-01-03 00:00:00.000	2022-01-07 00:00:00.000	Coach USA	128
2022-01-03 00:00:00.000	2022-01-07 00:00:00.000	DeCamp	37
2022-01-03 00:00:00.000	2022-01-07 00:00:00.000	Greyhound	44
2022-01-03 00:00:00.000	2022-01-07 00:00:00.000	HCEE - Community	84
2022-03-07 00:00:00.000	2022-03-11 00:00:00.000	TransBridge	18
2022-03-14 00:00:00.000	2022-03-18 00:00:00.000	Academy	35
2022-03-14 00:00:00.000	2022-03-18 00:00:00.000	C & J Bus Lines	0
2022-03-14 00:00:00.000	2022-03-18 00:00:00.000	Coach USA	129
2022-03-14 00:00:00.000	2022-03-18 00:00:00.000	DeCamp	37
2022-03-14 00:00:00.000	2022-03-18 00:00:00.000	Greyhound	45
2022-03-14 00:00:00.000	2022-03-18 00:00:00.000	HCEE - Community	86
2022-03-14 00:00:00.000	2022-03-18 00:00:00.000	Lakeland	30
2022-03-14 00:00:00.000	2022-03-18 00:00:00.000	Martz	17
2022-03-14 00:00:00.000	2022-03-18 00:00:00.000	NJ Transit	2156
2022-03-14 00:00:00.000	2022-03-18 00:00:00.000	Peter Pan_Bonanza	24
2022-03-14 00:00:00.000	2022-03-18 00:00:00.000	Trailways	19
2022-03-14 00:00:00.000	2022-03-18 00:00:00.000	TransBridge	18
